,01CPTAC_LSCC_Proteome_BI_20190615,02CPTAC_LSCC_Proteome_BI_20190618,03CPTAC_LSCC_Proteome_BI_20190626,04CPTAC_LSCC_Proteome_BI_20190629,05CPTAC_LSCC_Proteome_BI_20190705,06CPTAC_LSCC_Proteome_BI_20190710,07CPTAC_LSCC_Proteome_BI_20190714,08CPTAC_LSCC_Proteome_BI_20190717,09CPTAC_LSCC_Proteome_BI_20190722,10CPTAC_LSCC_Proteome_BI_20190726,11CPTAC_LSCC_Proteome_BI_20190804,12CPTAC_LSCC_Proteome_BI_20190807,13CPTAC_LSCC_Proteome_BI_20190815,14CPTAC_LSCC_Proteome_BI_20190819,15CPTAC_LSCC_Proteome_BI_20190822,16CPTAC_LSCC_Proteome_BI_20190828,17CPTAC_LSCC_Proteome_BI_20190831,18CPTAC_LSCC_Proteome_BI_20190903,19CPTAC_LSCC_Proteome_BI_20190909,20CPTAC_LSCC_Proteome_BI_20190913,21CPTAC_LSCC_Proteome_BI_20190916,22CPTAC_LSCC_Proteome_BI_20190919
12CPTAC_LSCC_Proteome_BI_20190807,0.3431186219994314,0.2924544751557129,0.29518792996281124,0.2985705905174857,0.32289118469181216,0.30144482026633884,0.31550291466178276,0.2596046971074525,0.3473713096562769,0.2664171862944412,0.3633367681129816,1.0,0.17714371127650946,0.29335381842998737,0.19481720392690774,0.18044025646364847,0.31022840192188733,0.2434039039863879,0.281236444233348,0.22081179412024945,0.2054936468076974,0.1815407414719022
13CPTAC_LSCC_Proteome_BI_20190815,0.33636616874969916,0.30582020213133737,0.2930730526230426,0.26516310457632947,0.22009992105794204,0.26274546000128485,0.32755415025297024,0.2916718700454584,0.2978685054952801,0.3187467818248572,0.35292507102469295,0.17714371127650946,1.0,0.3187742495712312,0.37784760705499165,0.3531943244810636,0.26479236743375756,0.2801724731519144,0.28940803166633744,0.2852096136841807,0.3301453149514221,0.29439944634416665
14CPTAC_LSCC_Proteome_BI_20190819,0.38516174886337384,0.32679787932963394,0.3323083221031985,0.32102946363961665,0.2866376312308437,0.3266424810267962,0.40264953461231173,0.3669924589012983,0.34104323359054517,0.30593069543993884,0.31963332071656364,0.29335381842998737,0.3187742495712312,1.0,0.34490719578499274,0.3279726681137838,0.3387594176219099,0.33502942306850036,0.34979038919238636,0.3156494902315147,0.31673048120584,0.3001553811427653
15CPTAC_LSCC_Proteome_BI_20190822,0.34283062085418464,0.3101099933328158,0.32393187829733755,0.3197093745526442,0.2871596416673643,0.32599404788243697,0.3564115663744783,0.3463759902092833,0.3237395634447851,0.32059428991169,0.3272303921392154,0.19481720392690774,0.37784760705499165,0.34490719578499274,1.0,0.39870323349594444,0.31534534470996944,0.33083553444704383,0.3375639870184604,0.3297541872395633,0.3653734938206856,0.3261402950746435
16CPTAC_LSCC_Proteome_BI_20190828,0.3212368139307816,0.2909037454782437,0.33842270896158694,0.29842485517692197,0.2521568567732163,0.2896838735333794,0.3472241851554669,0.31178315186680605,0.28738171345187935,0.3052747926890494,0.3100400719847614,0.18044025646364847,0.3531943244810636,0.3279726681137838,0.39870323349594444,1.0,0.29129980315964027,0.3205589804221331,0.29889383143850196,0.30890742278437006,0.3367005990060862,0.31113859435770225
17CPTAC_LSCC_Proteome_BI_20190831,0.33999185385995967,0.3312441043407577,0.34585017102141524,0.3490411954512044,0.3299982901899074,0.35608140468853916,0.36373848000350867,0.33129312951458745,0.36127215420652525,0.30745694677576474,0.3348919930907213,0.31022840192188733,0.26479236743375756,0.3387594176219099,0.31534534470996944,0.29129980315964027,1.0,0.3513366524788636,0.46021211361058295,0.36073966047782213,0.3692964416959438,0.3383922209910694
18CPTAC_LSCC_Proteome_BI_20190903,0.32130797387871884,0.3112136816493478,0.33881375236887573,0.3227554541952779,0.28875890303024154,0.322467156535011,0.3431240922233524,0.32621093750390584,0.325082628828222,0.30675913229859053,0.30144088543251735,0.2434039039863879,0.2801724731519144,0.33502942306850036,0.33083553444704383,0.3205589804221331,0.3513366524788636,1.0,0.3636857643601085,0.32401993112878397,0.32924017469733596,0.3050374025719386
19CPTAC_LSCC_Proteome_BI_20190909,0.3341633636129788,0.3215719784857774,0.33810068199609095,0.3369097688310198,0.32992783043613955,0.339928570429468,0.3657135506377668,0.3438105790559831,0.36808885688263704,0.3195182526864953,0.32485744016486034,0.281236444233348,0.28940803166633744,0.34979038919238636,0.3375639870184604,0.29889383143850196,0.46021211361058295,0.3636857643601085,1.0,0.3601513792146598,0.37957301731819076,0.33880536802101285
20CPTAC_LSCC_Proteome_BI_20190913,0.31351279351533234,0.2937442461538097,0.3145013345730869,0.3063713099963479,0.26456790929646196,0.3074823907720678,0.3226426925220548,0.3035513088980084,0.2995404247048092,0.2859751791674222,0.2914826730072699,0.22081179412024945,0.2852096136841807,0.3156494902315147,0.3297541872395633,0.30890742278437006,0.36073966047782213,0.32401993112878397,0.3601513792146598,1.0,0.3919840125239525,0.3755224953820445
21CPTAC_LSCC_Proteome_BI_20190916,0.3226833056505109,0.3080629893107065,0.3336937604660038,0.3058216046761837,0.26178922545802924,0.29280453732968814,0.3395158320955147,0.3131792799179273,0.30880325609993836,0.3061596456392079,0.31151056081498,0.2054936468076974,0.3301453149514221,0.31673048120584,0.3653734938206856,0.3367005990060862,0.3692964416959438,0.32924017469733596,0.37957301731819076,0.3919840125239525,1.0,0.4343693024149324
22CPTAC_LSCC_Proteome_BI_20190919,0.2979906217645123,0.29144505445560953,0.30361858517921564,0.28870458473171257,0.2541684332290011,0.2789132418608636,0.30176045537095075,0.2919612218514679,0.27401723553177443,0.2740741153743853,0.27763785532295204,0.1815407414719022,0.29439944634416665,0.3001553811427653,0.3261402950746435,0.31113859435770225,0.3383922209910694,0.3050374025719386,0.33880536802101285,0.3755224953820445,0.4343693024149324,1.0
